Date;Open;High;Low;Close;Volume;Currency;
0;03/01/2000;122.25;124.00;116.10;116.50;6640;USD
1;04/01/2000;116.25;120.50;115.75;116.25;5492;USD
2;05/01/2000;115.00;121.00;115.00;118.60;6165;USD
3;06/01/2000;119.00;121.40;116.50;116.85;5094;USD
4;07/01/2000;117.25;117.75;113.80;114.15;6855;USD
